code,name,category,manufacturer,description,price,sellingPrice,quantity,expiryDate,status
0002-4463,"Cialis Tablet, Film Coated",Phosphodiesterase 5 Inhibitor [EPC],Eli Lilly And Company,Tadalafil,91.85,119.41,275,2026-10-20,IN_STOCK
0002-4464,"Cialis Tablet, Film Coated",Phosphodiesterase 5 Inhibitor [EPC],Eli Lilly And Company,Tadalafil,21.22,27.59,210,2027-08-11,IN_STOCK
0002-4479,"Olumiant Tablet, Film Coated",Janus Kinase Inhibitor [EPC],Eli Lilly And Company,baricitinib,39.72,51.64,148,2028-05-03,IN_STOCK
0002-4483,Verzenio Tablet,Kinase Inhibitor [EPC],Eli Lilly And Company,abemaciclib,142.31,185.0,68,2028-10-19,IN_STOCK
0002-4491,Reyvow Tablet,General Medicine,Eli Lilly And Company,lasmiditan,75.47,98.11,60,2028-11-17,IN_STOCK
0002-4732,"Olumiant Tablet, Film Coated",Janus Kinase Inhibitor [EPC],Eli Lilly And Company,baricitinib,82.24,106.91,89,2027-02-09,IN_STOCK
0002-4815,Verzenio Tablet,Kinase Inhibitor [EPC],Eli Lilly And Company,abemaciclib,100.66,130.86,306,2027-03-19,IN_STOCK
0002-5337,Verzenio Tablet,Kinase Inhibitor [EPC],Eli Lilly And Company,abemaciclib,43.43,56.46,335,2027-12-08,IN_STOCK
0002-5340,"Retevmo Tablet, Coated",Breast Cancer Resistance Protein Inhibitors [MoA],Eli Lilly And Company,selpercatinib,144.83,188.28,301,2028-11-12,IN_STOCK
0002-5562,"Retevmo Tablet, Coated",Breast Cancer Resistance Protein Inhibitors [MoA],Eli Lilly And Company,selpercatinib,110.84,144.09,127,2028-09-30,IN_STOCK
0002-6082,"Retevmo Tablet, Coated",Breast Cancer Resistance Protein Inhibitors [MoA],Eli Lilly And Company,selpercatinib,50.2,65.26,368,2028-07-27,IN_STOCK
0002-6120,"Retevmo Tablet, Coated",Breast Cancer Resistance Protein Inhibitors [MoA],Eli Lilly And Company,selpercatinib,59.15,76.89,289,2028-01-06,IN_STOCK
0002-6216,Verzenio Tablet,Kinase Inhibitor [EPC],Eli Lilly And Company,abemaciclib,22.55,29.32,140,2026-12-05,IN_STOCK
0002-6885,"Baricitinib Tablet, Film Coated",Janus Kinase Inhibitor [EPC],Eli Lilly And Company,baricitinib,54.02,70.23,326,2028-04-20,IN_STOCK
0002-6902,"Jaypirca Tablet, Coated",Breast Cancer Resistance Protein Inhibitors [MoA],Eli Lilly And Company,pirtobrutinib,38.37,49.88,137,2026-10-08,IN_STOCK
0002-7026,"Jaypirca Tablet, Coated",Breast Cancer Resistance Protein Inhibitors [MoA],Eli Lilly And Company,pirtobrutinib,15.29,19.88,348,2026-11-30,IN_STOCK
0002-7510,"Humalog Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,38.2,49.66,41,2027-09-04,IN_STOCK
0002-7511,"Humalog Injection, Suspension",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,15.27,19.85,146,2027-07-13,IN_STOCK
0002-7516,"Humalog Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,102.0,132.6,134,2028-04-05,IN_STOCK
0002-7575,"Omvoh Injection, Solution",Interleukin-23 Antagonist [EPC],Eli Lilly And Company,mirikizumab-mrkz,24.19,31.45,317,2028-05-13,IN_STOCK
0002-7623,"Alimta Injection, Powder, Lyophilized, For Solution",Folate Analog Metabolic Inhibitor [EPC],Eli Lilly And Company,Pemetrexed disodium,73.54,95.6,267,2027-11-21,IN_STOCK
0002-7640,"Alimta Injection, Powder, Lyophilized, For Solution",Folate Analog Metabolic Inhibitor [EPC],Eli Lilly And Company,Pemetrexed disodium,32.61,42.39,74,2028-08-05,IN_STOCK
0002-7669,Cyramza Solution,VEGFR2 Inhibitors [MoA],Eli Lilly And Company,ramucirumab,67.5,87.75,241,2027-11-25,IN_STOCK
0002-7678,Cyramza Solution,VEGFR2 Inhibitors [MoA],Eli Lilly And Company,ramucirumab,72.72,94.54,398,2026-11-25,IN_STOCK
0002-7712,"Humalog Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,102.64,133.43,355,2027-01-09,IN_STOCK
0002-7714,"Humalog Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,13.79,17.93,397,2027-09-13,IN_STOCK
0002-7715,"Basaglar Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin glargine,121.09,157.42,80,2027-06-12,IN_STOCK
0002-7717,Omvoh Kit,General Medicine,Eli Lilly And Company,mirikizumab-mrkz,32.78,42.61,299,2028-01-03,IN_STOCK
0002-7722,Omvoh Kit,General Medicine,Eli Lilly And Company,mirikizumab-mrkz,25.33,32.93,118,2027-07-13,IN_STOCK
0002-7724,"Taltz Injection, Solution",Interleukin-17A Antagonist [EPC],Eli Lilly And Company,ixekizumab,72.08,93.7,63,2027-12-28,IN_STOCK
0002-7726,"Lyumjev Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro-aabc,122.16,158.81,306,2027-01-09,IN_STOCK
0002-7728,"Lyumjev Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro-aabc,12.34,16.04,301,2026-10-16,IN_STOCK
0002-7737,"Insulin Lispro Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,145.5,189.15,146,2027-03-20,IN_STOCK
0002-7752,"Insulin Lispro Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,63.93,83.11,271,2027-05-07,IN_STOCK
0002-7772,"Ebglyss Injection, Solution",Interleukin-13 Antagonist [EPC],Eli Lilly And Company,lebrikizumab-lbkz,130.37,169.48,55,2027-03-18,IN_STOCK
0002-7797,"Ebglyss Injection, Solution",Interleukin-13 Antagonist [EPC],Eli Lilly And Company,lebrikizumab-lbkz,59.95,77.94,224,2027-06-29,IN_STOCK
0002-8011,"Omvoh Injection, Solution",Interleukin-23 Antagonist [EPC],Eli Lilly And Company,mirikizumab-mrkz,139.35,181.16,257,2027-07-20,IN_STOCK
0002-8147,Humatrope Kit,General Medicine,Eli Lilly And Company,Somatropin,66.34,86.24,399,2028-12-11,IN_STOCK
0002-8148,Humatrope Kit,General Medicine,Eli Lilly And Company,Somatropin,85.59,111.27,392,2028-02-11,IN_STOCK
0002-8149,Humatrope Kit,General Medicine,Eli Lilly And Company,Somatropin,27.45,35.69,176,2027-05-11,IN_STOCK
0002-8207,"Lyumjev Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro-aabc,145.46,189.1,321,2028-10-23,IN_STOCK
0002-8213,"Humalog Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,83.62,108.71,185,2026-11-28,IN_STOCK
0002-8215,"Humulin Injection, Solution",Insulin [CS],Eli Lilly And Company,Insulin human,12.27,15.95,269,2028-02-27,IN_STOCK
0002-8222,"Insulin Lispro Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,138.31,179.8,296,2027-03-11,IN_STOCK
0002-8228,"Lyumjev Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro-aabc,13.25,17.23,285,2026-12-22,IN_STOCK
0002-8233,"Insulin Lispro Protamine And Insulin Lispro Injectable Suspension Injection, Suspension",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,128.44,166.97,60,2028-06-01,IN_STOCK
0002-8235,"Lyumjev Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro-aabc,14.85,19.3,145,2027-11-18,IN_STOCK
0002-8315,"Humulin Injection, Suspension",Insulin [CS],Eli Lilly And Company,Insulin human,22.38,29.09,316,2027-06-10,IN_STOCK
0002-8351,"Lyumjev Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro-aabc,88.94,115.62,45,2028-06-26,IN_STOCK
0002-8400,"Forteo Injection, Solution",Parathyroid Hormone Analog [EPC],Eli Lilly And Company,Teriparatide,16.89,21.96,361,2028-05-20,IN_STOCK
0002-8715,"Humulin Injection, Suspension",Insulin [CS],Eli Lilly And Company,Insulin human,86.96,113.05,186,2027-06-25,IN_STOCK
0002-8797,"Humalog Injection, Suspension",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,34.62,45.01,391,2027-08-18,IN_STOCK
0002-8798,"Humalog Injection, Suspension",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,39.61,51.49,227,2027-02-12,IN_STOCK
0002-8799,"Humalog Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin lispro,102.4,133.12,178,2028-01-12,IN_STOCK
0002-8803,"Humulin Injection, Suspension",Insulin [CS],Eli Lilly And Company,Insulin human,50.85,66.11,62,2026-10-10,IN_STOCK
0002-8805,"Humulin Injection, Suspension",Insulin [CS],Eli Lilly And Company,Insulin human,71.45,92.89,313,2027-01-11,IN_STOCK
0002-8824,"Humulin Injection, Solution",Insulin [CS],Eli Lilly And Company,Insulin human,15.62,20.31,134,2028-03-02,IN_STOCK
0002-8870,"Omvoh Injection, Solution",Interleukin-23 Antagonist [EPC],Eli Lilly And Company,mirikizumab-mrkz,43.45,56.49,203,2026-12-10,IN_STOCK
0002-8900,"Taltz Injection, Solution",Interleukin-17A Antagonist [EPC],Eli Lilly And Company,ixekizumab,132.49,172.24,214,2027-07-19,IN_STOCK
0002-8905,"Taltz Injection, Solution",Interleukin-17A Antagonist [EPC],Eli Lilly And Company,ixekizumab,27.87,36.23,303,2028-09-20,IN_STOCK
0002-8980,"Rezvoglar Injection, Solution",Insulin Analog [EPC],Eli Lilly And Company,Insulin glargine-aglr,48.86,63.52,359,2028-03-25,IN_STOCK
0002-9401,"Kisunla Injection, Solution",General Medicine,Eli Lilly And Company,donanemab-azbt,6.13,7.97,308,2027-08-03,IN_STOCK
0002-9678,"Forteo Injection, Solution",Parathyroid Hormone Analog [EPC],Eli Lilly And Company,Teriparatide,140.1,182.13,78,2027-02-15,IN_STOCK
0003-0050,"Cobenfy Capsule, Coated Pellets",Cholinergic Muscarinic Agonist [EPC],"E.R. Squibb & Sons, L.L.C.",xanomeline and trospium chloride,43.35,56.36,79,2028-10-30,IN_STOCK
0003-0125,"Cobenfy Capsule, Coated Pellets",Cholinergic Muscarinic Agonist [EPC],"E.R. Squibb & Sons, L.L.C.",xanomeline and trospium chloride,85.22,110.79,164,2027-07-16,IN_STOCK
0003-0249,Halog Solution,Corticosteroid Hormone Receptor Agonists [MoA],"E.R. Squibb & Sons, L.L.C.",Halcinonide,92.7,120.51,392,2027-09-17,IN_STOCK
0003-0293,"Kenalog-40 Injection, Suspension",Corticosteroid Hormone Receptor Agonists [MoA],"E.R. Squibb & Sons, L.L.C.",TRIAMCINOLONE ACETONIDE,34.52,44.88,349,2027-06-28,IN_STOCK
0003-0315,"Kenalog-80 Injection, Suspension",Corticosteroid Hormone Receptor Agonists [MoA],"E.R. Squibb & Sons, L.L.C.",TRIAMCINOLONE ACETONIDE,78.28,101.76,153,2026-11-22,IN_STOCK
0003-0371,"Nulojix Injection, Powder, Lyophilized, For Solution",CD80-directed Antibody Interactions [MoA],"E.R. Squibb & Sons, L.L.C.",BELATACEPT,18.38,23.89,241,2027-07-11,IN_STOCK
0003-0494,"Kenalog-10 Injection, Suspension",Corticosteroid Hormone Receptor Agonists [MoA],"E.R. Squibb & Sons, L.L.C.",TRIAMCINOLONE ACETONIDE,11.39,14.81,195,2028-11-28,IN_STOCK
0003-0524,Sprycel Tablet,Cytochrome P450 3A4 Inhibitors [MoA],"E.R. Squibb & Sons, L.L.C.",dasatinib,23.97,31.16,159,2027-03-15,IN_STOCK
0003-0527,Sprycel Tablet,Cytochrome P450 3A4 Inhibitors [MoA],"E.R. Squibb & Sons, L.L.C.",dasatinib,112.48,146.22,307,2028-09-22,IN_STOCK
0003-0528,Sprycel Tablet,Cytochrome P450 3A4 Inhibitors [MoA],"E.R. Squibb & Sons, L.L.C.",dasatinib,67.01,87.11,29,2027-01-23,IN_STOCK
0003-0852,Sprycel Tablet,Cytochrome P450 3A4 Inhibitors [MoA],"E.R. Squibb & Sons, L.L.C.",dasatinib,15.91,20.68,378,2027-03-02,IN_STOCK
0003-0855,Sprycel Tablet,Cytochrome P450 3A4 Inhibitors [MoA],"E.R. Squibb & Sons, L.L.C.",dasatinib,84.11,109.34,214,2028-05-19,IN_STOCK
0003-0857,Sprycel Tablet,Cytochrome P450 3A4 Inhibitors [MoA],"E.R. Squibb & Sons, L.L.C.",dasatinib,85.12,110.66,245,2027-02-08,IN_STOCK
0003-0893,"Eliquis Tablet, Film Coated",Factor Xa Inhibitor [EPC],"E.R. Squibb & Sons, L.L.C.",apixaban,11.07,14.39,211,2028-12-24,IN_STOCK
0003-0894,"Eliquis Tablet, Film Coated",Factor Xa Inhibitor [EPC],"E.R. Squibb & Sons, L.L.C.",apixaban,145.97,189.76,45,2027-10-02,IN_STOCK
0003-0895,"Sotyktu Tablet, Film Coated",Tyrosine Kinase 2 Inhibitor [EPC],"E.R. Squibb & Sons, L.L.C.",deucravacitinib,35.46,46.1,152,2028-08-13,IN_STOCK
0003-0898,Eliquis Sprinkle Capsule,Factor Xa Inhibitor [EPC],"E.R. Squibb & Sons, L.L.C.",apixaban,19.91,25.88,311,2027-11-21,IN_STOCK
0003-1028,"Eliquis Tablet, For Suspension",Factor Xa Inhibitor [EPC],"E.R. Squibb & Sons, L.L.C.",apixaban,146.21,190.07,104,2027-05-31,IN_STOCK
0003-1100,"Cobenfy Capsule, Coated Pellets",Cholinergic Muscarinic Agonist [EPC],"E.R. Squibb & Sons, L.L.C.",xanomeline and trospium chloride,130.37,169.48,115,2027-11-27,IN_STOCK
0003-1611,"Baraclude Tablet, Film Coated",Hepatitis B Virus Nucleoside Analog Reverse Transc,"E.R. Squibb & Sons, L.L.C.",entecavir,8.59,11.17,195,2028-12-10,IN_STOCK
0003-1612,"Baraclude Tablet, Film Coated",Hepatitis B Virus Nucleoside Analog Reverse Transc,"E.R. Squibb & Sons, L.L.C.",entecavir,139.97,181.96,367,2028-10-22,IN_STOCK
0003-1614,Baraclude Solution,Hepatitis B Virus Nucleoside Analog Reverse Transc,"E.R. Squibb & Sons, L.L.C.",entecavir,122.56,159.33,161,2027-03-13,IN_STOCK
0003-2187,"Orencia Injection, Powder, Lyophilized, For Solution",Decreased Cytokine Activity [PE],"E.R. Squibb & Sons, L.L.C.",abatacept,119.17,154.92,80,2027-10-27,IN_STOCK
0003-2188,"Orencia Injection, Solution",Decreased Cytokine Activity [PE],"E.R. Squibb & Sons, L.L.C.",abatacept,131.46,170.9,265,2027-05-16,IN_STOCK
0003-2291,"Empliciti Injection, Powder, Lyophilized, For Solution",Antibodies,"E.R. Squibb & Sons, L.L.C.",elotuzumab,33.94,44.12,260,2027-09-24,IN_STOCK
0003-2327,Yervoy Injection,CTLA-4-directed Antibody Interactions [MoA],"E.R. Squibb & Sons, L.L.C.",ipilimumab,49.25,64.03,141,2027-05-17,IN_STOCK
0003-2328,Yervoy Injection,CTLA-4-directed Antibody Interactions [MoA],"E.R. Squibb & Sons, L.L.C.",ipilimumab,8.43,10.96,123,2027-11-13,IN_STOCK
0003-2560,"Azactam Injection, Powder, For Solution",Monobactam Antibacterial [EPC],"E.R. Squibb & Sons, L.L.C.",AZTREONAM,52.6,68.38,60,2028-11-30,IN_STOCK
0003-2570,"Azactam Injection, Powder, For Solution",Monobactam Antibacterial [EPC],"E.R. Squibb & Sons, L.L.C.",AZTREONAM,45.47,59.11,353,2028-03-05,IN_STOCK
0003-2814,"Orencia Injection, Solution",Decreased Cytokine Activity [PE],"E.R. Squibb & Sons, L.L.C.",abatacept,62.95,81.84,299,2027-09-05,IN_STOCK
0003-2818,"Orencia Injection, Solution",Decreased Cytokine Activity [PE],"E.R. Squibb & Sons, L.L.C.",abatacept,141.19,183.55,84,2027-06-25,IN_STOCK
0003-3120,"Opdivo Qvantig Injection, Solution",Endoglycosidase [EPC],"E.R. Squibb & Sons, L.L.C.",nivolumab and hyaluronidase-nvhy,30.89,40.16,160,2026-11-09,IN_STOCK
0003-3622,"Reyataz Capsule, Gelatin Coated",Cytochrome P450 2C8 Inhibitors [MoA],"E.R. Squibb & Sons, L.L.C.",ATAZANAVIR,20.72,26.94,247,2027-09-19,IN_STOCK
0003-3631,"Reyataz Capsule, Gelatin Coated",Cytochrome P450 2C8 Inhibitors [MoA],"E.R. Squibb & Sons, L.L.C.",ATAZANAVIR,110.64,143.83,185,2027-12-21,IN_STOCK
0003-3638,Reyataz Powder,Cytochrome P450 2C8 Inhibitors [MoA],"E.R. Squibb & Sons, L.L.C.",ATAZANAVIR,92.9,120.77,286,2027-01-27,IN_STOCK
0003-3641,Evotaz Tablet,Breast Cancer Resistance Protein Inhibitors [MoA],"E.R. Squibb & Sons, L.L.C.",atazanavir and cobicistat,60.85,79.11,320,2027-04-13,IN_STOCK
0003-3734,Opdivo Injection,Programmed Death Receptor-1 Blocking Antibody [EPC,"E.R. Squibb & Sons, L.L.C.",nivolumab,41.93,54.51,387,2027-12-21,IN_STOCK
0003-3756,Opdivo Injection,Programmed Death Receptor-1 Blocking Antibody [EPC,"E.R. Squibb & Sons, L.L.C.",nivolumab,5.25,6.83,300,2028-09-03,IN_STOCK
0003-3764,Eliquis Kit,General Medicine,"E.R. Squibb & Sons, L.L.C.",apixaban,109.32,142.12,368,2027-04-20,IN_STOCK
0003-3765,Eliquis Kit,General Medicine,"E.R. Squibb & Sons, L.L.C.",apixaban,57.81,75.15,60,2028-08-11,IN_STOCK
0003-3772,Opdivo Injection,Programmed Death Receptor-1 Blocking Antibody [EPC,"E.R. Squibb & Sons, L.L.C.",nivolumab,138.51,180.06,344,2027-08-18,IN_STOCK
0003-3774,Opdivo Injection,Programmed Death Receptor-1 Blocking Antibody [EPC,"E.R. Squibb & Sons, L.L.C.",nivolumab,101.19,131.55,88,2028-10-07,IN_STOCK
0003-4040,Augtyro Capsule,Cytochrome P450 3A4 Inducers [MoA],"E.R. Squibb & Sons, L.L.C.",repotrectinib,135.51,176.16,284,2027-08-13,IN_STOCK
0003-4160,Augtyro Capsule,Cytochrome P450 3A4 Inducers [MoA],"E.R. Squibb & Sons, L.L.C.",repotrectinib,101.7,132.21,192,2027-11-17,IN_STOCK
0003-4522,"Empliciti Injection, Powder, Lyophilized, For Solution",Antibodies,"E.R. Squibb & Sons, L.L.C.",elotuzumab,106.1,137.93,308,2027-02-08,IN_STOCK
